experiment,pipeline,shift_type,auroc_drop_from_clean,accuracy_drop_from_clean,balanced_accuracy_drop_from_clean,precision_drop_from_clean,recall_drop_from_clean,f1_drop_from_clean
voxel_robust,voxel,noise,0.0023324415174591127,0.04188481675392667,-0.0034757952024879004,0.17094161743466815,-0.062015503875968915,0.07887058833028415
voxel_clean,voxel,noise,0.0253024170496902,0.6535776614310645,0.21932953739909902,0.33652359262801296,-0.3410852713178294,0.3145087108954369
point_robust_xyzI_512,point,noise,0.054423635407376936,0.13961605584642237,0.05158811826850518,0.1902993877847942,-0.062015503875969026,0.1573961588913463
point_ablation_xyzI_512,point,noise,0.17907205414923053,0.0008726003490401313,0.20016692963801422,0.3354048964218456,0.4573643410852713,0.3870169426994099
point_clean_xyzI_512,point,noise,0.18170176762479706,0.027923211169284496,0.22217648807482115,0.13013489083576693,0.4728682170542635,0.32198323914965593
point_ablation_xyz_512,point,noise,0.2777434771672269,0.10383944153577658,0.20741579200109772,0.2216829583450651,0.34108527131782945,0.2740890584442382
point_ablation_xyzI_1024,point,noise,0.29162379090347795,0.6038394415357765,0.29960439962498,0.25710126212744017,-0.09302325581395354,0.3029089844893181
voxel_robust,voxel,rotation,0.025908394502755578,0.016579406631762605,0.029647161052800075,0.07421645660848324,0.04651162790697679,0.061268967555769493
point_ablation_xyzI_512,point,rotation,0.06501109053074479,-0.021815008726003504,0.20769019688550458,-0.2784839924670433,0.5038759689922481,0.317593704148326
point_robust_xyzI_512,point,rotation,0.06841828451213101,0.13438045375218152,0.062175573391873,0.19100359758666974,-0.03100775193798448,0.1623076397835785
voxel_clean,voxel,rotation,0.07095652969289516,-0.013089005235602155,0.2667558482540989,-0.19999999999999998,0.6279069767441862,0.4989081756072047
point_clean_xyzI_512,point,rotation,0.07724497496055434,0.10907504363001752,0.10206718346253237,0.13874608488579077,0.0930232558139535,0.15193634338371179
point_ablation_xyzI_1024,point,rotation,0.09297752166655222,0.06631762652705057,0.09489835585740096,0.0997483549413745,0.1317829457364341,0.12149669177764001
point_ablation_xyz_512,point,rotation,0.10822985982483824,0.068935427574171,0.07268299375728897,0.11162990176244965,0.07751937984496127,0.11677286822354521
